SEVERIDADE,PA_CODUNI,NUM_PACIENTES,NU_LATITUDE,NU_LONGITUDE
LEVE/MODERADA,2340534,2,-17.301,-48.28
LEVE/MODERADA,2360411,2,-2.419,-48.152
LEVE/MODERADA,2373971,2,-3.818458,-38.533989
LEVE/MODERADA,2408295,2,-5.7883411,-35.2091521
LEVE/MODERADA,2468360,2,-12.91384520805148,-46.57776117324829
LEVE/MODERADA,2482495,2,-3.888628,-38.509794
LEVE/MODERADA,2488892,2,-14.854774215594816,-40.83920180797577
LEVE/MODERADA,2505401,2,-12.14219,-44.9941
LEVE/MODERADA,2511290,2,-26.304,-48.846
LEVE/MODERADA,2511487,2,-26.2546895,-48.8190179
LEVE/MODERADA,2512734,2,-26.9394064,-49.067114
LEVE/MODERADA,2528991,2,-3.775906,-38.588426
LEVE/MODERADA,2529238,2,-3.7721,-38.478681
LEVE/MODERADA,2561158,2,-3.765417,-38.440446
LEVE/MODERADA,2654504,2,-10.852,-55.177
LEVE/MODERADA,2684012,2,-24.780666101099385,-50.005924701690674
LEVE/MODERADA,2704587,2,-23.218,-44.713
LEVE/MODERADA,2704773,2,-23.1742941,-46.8860239
LEVE/MODERADA,2704838,2,-23.2450554,-46.8545543
LEVE/MODERADA,2705125,2,-23.1779923,-46.9892993
LEVE/MODERADA,2711168,2,-22.2290405,-54.7578403
LEVE/MODERADA,2719339,2,-9.934,-36.554
LEVE/MODERADA,2723158,2,-3.72936,-38.53381
LEVE/MODERADA,2749319,2,-23.026,-45.555
LEVE/MODERADA,2755009,2,-22.5826798,-48.8114208
LEVE/MODERADA,2755130,2,-22.126,-51.389
LEVE/MODERADA,2761203,2,-18.249,-43.6
LEVE/MODERADA,2766167,2,-22.843,-47.606
LEVE/MODERADA,2772280,2,-14.786438935403531,-39.27633762359619
LEVE/MODERADA,2790556,2,-22.315,-49.061
LEVE/MODERADA,2815125,2,-22.523,-44.104
LEVE/MODERADA,3008827,2,-20.29509315,-40.3042711008703
LEVE/MODERADA,3200116,2,-12.998013664962306,-38.46338152885437
LEVE/MODERADA,3239284,2,-20.858088,-41.102693
LEVE/MODERADA,3443523,2,-21.35417856279044,-48.22319984436035
LEVE/MODERADA,4034325,2,-19.817,-43.956
LEVE/MODERADA,4046307,2,-22.903,-43.208
LEVE/MODERADA,4067223,2,-28.661,-56.004
LEVE/MODERADA,5077265,2,-2.685945388655024,-59.707345962524414
LEVE/MODERADA,5242282,2,-30.035198026838714,-52.90271043777466
LEVE/MODERADA,5522935,2,-20.3132043,-40.3133688
LEVE/MODERADA,5586372,2,-25.48219050756846,-49.24545660000001
LEVE/MODERADA,5621534,2,-9.53271764573897,-37.29347437620163
LEVE/MODERADA,5717256,2,-22.825198665181972,-43.34750175476074
LEVE/MODERADA,5815991,2,-19.986,-44.428
LEVE/MODERADA,6007503,2,-22.622329951293157,-47.18700885772705
LEVE/MODERADA,6023983,2,-22.90925,-43.20189
LEVE/MODERADA,6056148,2,-20.82,-49.379
LEVE/MODERADA,6246028,2,-6.802374500376091,-50.48400163650513
LEVE/MODERADA,6387713,2,-4.276643,-55.990547
LEVE/MODERADA,6603432,2,-22.372,-46.942
LEVE/MODERADA,6697208,2,-20.9389172,-48.4938943
LEVE/MODERADA,6699529,2,-22.958,-45.549
LEVE/MODERADA,6700667,2,-6.452,-38.551
LEVE/MODERADA,6763944,2,-1.528,-49.217
LEVE/MODERADA,6942253,2,-14.038507957327932,-42.425594329833984
LEVE/MODERADA,7065817,2,-20.4467586,-55.788655
LEVE/MODERADA,7115148,2,-26.856226536804872,-49.05448079109192
LEVE/MODERADA,7187963,2,-16.705094907256843,-49.27119255065918
LEVE/MODERADA,7284284,2,-7.0699,-40.3735
LEVE/MODERADA,7368895,2,-15.6395228,-47.8218206
LEVE/MODERADA,7371586,2,-6.0658333,-49.8824224
LEVE/MODERADA,7418108,2,-21.744577287082453,-48.15087139606476
LEVE/MODERADA,7476620,2,-18.9130785,-48.3362015
LEVE/MODERADA,7520433,2,-22.8388046,-47.1571892
LEVE/MODERADA,9000879,2,-3.728256,-38.471345
LEVE/MODERADA,9314687,2,-21.406,-48.505
LEVE/MODERADA,9511377,2,-12.98070133628841,-39.247305393218994
LEVE/MODERADA,9585370,2,-6.780643,-38.24783
LEVE/MODERADA,9597522,2,-30.04472720779053,-51.229848861694336
LEVE/MODERADA,9717463,2,-26.486,-49.067
